文件名,相关系数 (CC),偏差 (BIAS),均方根误差 (RMSE),,,文件名,相关系数 (CC),偏差 (BIAS),均方根误差 (RMSE),,,文件名,相关系数 (CC),偏差 (BIAS),均方根误差 (RMSE)
202001.npy,0.948279384,45.81057063,60.6819453,,,202001.npy,0.944450853,41.78157928,55.00578103,,,202001.npy,0.947033188,45.36341038,60.37862749
202002.npy,0.938548313,42.62448826,56.7714492,,,202002.npy,0.932228997,40.74599851,54.2319578,,,202002.npy,0.934490379,42.36636596,56.77164879
202003.npy,0.95391303,65.72026536,85.93056528,,,202003.npy,0.94437436,60.80560303,79.61869607,,,202003.npy,0.954809547,65.55968092,85.70938802
202004.npy,0.862066726,41.81414199,51.80971795,,,202004.npy,0.859500856,41.56899217,52.16200907,,,202004.npy,0.858342805,41.63747778,51.76167809
202005.npy,0.825571311,69.69185387,86.13421792,,,202005.npy,0.829867277,69.7217858,86.5023334,,,202005.npy,0.820582028,69.61769054,86.17346364
202006.npy,0.828575905,121.1314527,142.459297,,,202006.npy,0.827535876,123.4776562,146.5260313,,,202006.npy,0.824515924,120.3826149,142.2526559
202007.npy,0.864706595,85.54254291,120.3894421,,,202007.npy,0.865595786,81.92184549,117.6607408,,,202007.npy,0.861237575,85.28546073,121.0218217
202008.npy,0.8864213,59.96076745,99.53405294,,,202008.npy,0.869171456,56.86489282,102.2403173,,,202008.npy,0.886971417,60.19539408,99.73292767
202009.npy,0.84149732,58.02182384,75.92646998,,,202009.npy,0.837158364,56.73462461,75.9981125,,,202009.npy,0.836590573,57.69925172,76.11614361
202010.npy,0.849888519,31.9727491,40.26775198,,,202010.npy,0.85014485,31.11492985,39.89034252,,,202010.npy,0.841331501,32.146581,41.03898944
202011.npy,0.882037039,16.53158222,24.78655798,,,202011.npy,0.883144587,14.85368861,22.61977069,,,202011.npy,0.882043375,16.46437083,24.67677289
202012.npy,0.637497111,12.26857183,17.38431345,,,202012.npy,0.625763176,11.11623134,16.74740358,,,202012.npy,0.636556369,12.1766688,17.32745508
